timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301842060317973 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301843579421902 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301845098504007 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301846618342357 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301848137517482 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301849656580159 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301851175770127 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301852694945303 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301854214037354 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301855733124925 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301857252234527 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301858771324181 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301860290460501 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301816732997686 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301861809588435 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301863328680535 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301863328762202 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301864847822427 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301866366910308 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301867885985845 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301869405058049 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301870924083742 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301872443123705 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301873962219449 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301875481329723 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301877000524164 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301878519590219 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301880038663045 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301881557701079 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301883076773487 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301884595857718 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301886114958823 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301887634048418 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
timestamp_begin : 301863328759910 ,temperature : -1 ,content_size : 8072 ,other_readings : hello ,id : 7 ,magic : 3254525889 ,stream_id : 0 ,humidity : 301 ,timestamp : 301889153151501 ,state : ACTIVATED ,packet_size : 8192 ,events_discarded : 0 ,timestamp_end : 301908901256349 ,uuid : [79, 68, 36, 206, 220, 230, 17, 230, 146, 193, 184, 39, 235, 60, 74, 250] ,
